bccgcoD_0;bpaadD_0;bpcgrU_0;bpcinV_0;bpcnuM_0;bprnaM_0;crN_0;credattiM_0;ctY_0;cuR_0;naF_0;ostauZ_0;ptE_0;reP_0;reP_1;teL_0;tsccoD_0;upddattiM_0;vacbpR_0
;01;4011TAKI;4011TAKI;4011TAKI;ETS TAKI HASSAN ; ;2022-09-09T03:15:49; ;XOF; ;5000000.0;CC1;SYNA;OLGA;0788889897;300;2024-05-13T00:09:51;AIRSI
;C1;41110-SURGELES;41110-SURGELES;41110-SURGELES;O'SURGELES SARL;CI-ABJ032023B1204356;2023-09-26T01:40:15;ABIDJAN;XOF;2303605G;500000.0;CC1;SARAH;OLGA;0707246004;200;2024-05-13T00:09:51;AIRSI
;C1;4111ABDOUL-BUIL;4111ABDOUL-BUIL;4111ABDOUL-BUIL;ABDOUL BUILDINR SARLU;CI-ABL032023B1305362;2023-10-17T02:00:09;ABIDJAN;XOF;0051093S;250000.0;CC1;TOURE;OLGA;0709983567;200;2025-01-18T00:55:40;AIRSI
;C1;4111ABDOULAYA;4111ABDOULAYA;4111ABDOULAYA;ABDOULAYA AWA; ;2024-02-22T01:23:09;ABIDJAN;XOF; ;7000000.0;CC1;KANI;OLGA;0103055894;300;2025-01-29T23:30:40;AIRSI
;01;4111ABENAN;4111ABENAN;4111ABENAN;YAO ABENAN - ASSEMIAN . R; ;2022-03-04T21:11:01; ;XOF; ;2000000.0;CC1;SERGEMOTTO;OLGA; ;100;2025-08-26T23:46:47;NOR
;C1;4111ABFSCONSULT;4111ABFSCONSULT;4111ABFSCONSULT;ABFS CONSULTING;CI-ABJ032023B1306009;2024-07-24T23:45:01;ABIDJAN;XOF;2302648E;2000000.0;CH15DFAC;ASSAMOI;OLGA;0767169489;400;2025-06-14T04:25:58;AIRSI
;01;4111ABITOL;4111ABITOL;4111ABITOL;SIMON ABITOL; ;2021-09-25T04:43:46;ABIDJAN;XOF; ;0.0;CC1;SERGEMOTTO; ; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111ABOU-FOFANA;4111ABOU-FOFANA;4111ABOU-FOFANA;ABOU FOFANA; ;2023-09-27T05:29:34;ABIDJAN;XOF; ;10000000.0;CC1;KANI;OLGA; ;300;2024-08-10T05:22:49;AIRSI
;C1;4111ABOUBACAR;4111ABOUBACAR;4111ABOUBACAR;ABOUBACAR ; ;2023-09-14T23:40:24;ABIDJAN;XOF; ;10000000.0;CC1;KANI;OLGA; ;300;2024-09-22T02:18:33;AIRSI
;01;4111ABPTA;4111ABPTA;4111ABPTA;ARTISAN BOULANGER PATISSIER TRAITEU;CI-ABJ-2020-B-03421;2022-11-30T22:19:43;COCODY ANGRE BESSIKOI;XOF;9509397Q;1500000.0;CHFM10;DABA;OLGA;0759849200;400;2025-06-26T21:19:34;AIRSI
;01;4111ABRAHAM;4111ABRAHAM;4111ABRAHAM;AMETOGLO ABRAHAM; ;2021-08-31T21:40:05;ABIDJAN;XOF; ;7000000.0;CC1;KANI;OLGA;0707882964;300;2025-01-29T23:11:51;AIRSI
;C1;4111ADAM;4111ADAM;4111ADAM;ADAM DISTRIBUTION SARL;CI-ABJ-2023B13-13360;2024-04-19T03:50:54;ABIDJAN;XOF;2400141;8000000.0;CC1;AYEKOUE;OLGA;0787830446;300;2024-05-13T00:09:51;AIRSI
;01;4111ADAMA;4111ADAMA;4111ADAMA;ADAMA KEITA; ;2023-02-07T20:45:37; ;XOF; ;5000000.0;CC1;KANI;OLGA;0747442605;300;2025-01-29T23:29:40;AIRSI
;01;4111ADEAL;4111ADEAL;4111ADEAL;ADEAL;CI-ABJ-1962-B-190;2021-09-23T22:57:35;ABIDJAN;XOF;0100190J;10000000.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2024-05-13T00:09:51;NOR
;01;4111ADJOBA;4111ADJOBA;4111ADJOBA;AKA ADJOBA ANTOINETTE; ;2022-12-30T07:19:21;ABIDJAN;XOF; ;5000000.0;CC1;SYNA;OLGA; ;300;2024-09-18T23:36:11;AIRSI
;C1;4111ADS;4111ADS;4111ADS;ADS; ;2025-04-12T04:25:01;ABIDJAN;XOF; ;1000000.0;CH15DFAC;CODJO;OLGA;0769772725;100;2025-04-12T04:25:01;AIRSI
;01;4111ADVESSE;4111ADVESSE;4111ADVESSE;L'ADRESSE; ;2022-01-12T05:41:38; ;XOF; ;500000.0;CH15JFIN15;CODJO;OLGA; ;400;2024-09-26T02:19:01;NOR
;01;4111AFFI;4111AFFI;4111AFFI;AFFI FRANCK; ;2021-08-24T22:32:41; ;XOF; ;2000000.0;CC1;SYNA;SYNA;0707865789;300;2024-05-13T00:09:51;AIRSI
;C2;4111AFRI-QUEEN;4111AFRI-QUEEN;4111AFRI-QUEEN;AFRICAN QUEEN; ;2024-09-06T02:08:51;ABIDJAN;XOF;2003621Z;500000.0;CH15DFAC;CODJO;OLGA;0707070172;400;2024-09-06T02:08:51;AIRSI
;C1;4111AHD-CI;4111AHD-CI;4111AHD-CI;HOTEL ONOMO;CI-ABJ2009B6424;2023-12-22T02:38:25;PORT BOUET;XOF;0920876A;1500000.0;CH10;CODJO;OLGA;0704409785;400;2025-06-13T05:58:02;AIRSI
;01;4111AHIZA;4111AHIZA;4111AHIZA;AHIZA;CI-ABJ-2017-B-5107;2021-08-02T22:19:13; ;XOF;1708616J;80000000.0;FRCHQ30FAC-;KANI;OLGA;0707810599;300;2025-05-31T04:42:23;NOR
;C1;4111AHM;4111AHM;4111AHM;AFRICAN HOTEL MANAGEMENT;CI-ABJ-2017-28071;2024-07-11T20:27:35;ABIDJAN MARCORY;XOF;1749597G;1500000.0;CH10;CODJO;OLGA;0576865261;400;2025-06-13T05:39:15;NOR
;01;4111AHOUSSI;4111AHOUSSI;4111AHOUSSI;AHOUSSI ADJO ERNESTINE; ;2023-03-11T02:23:23;ABIDJAN;XOF; ;5000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111AHUA;4111AHUA;4111AHUA;AHUA EBELA ANNICK; ;2024-02-14T01:36:43;ABIDJAN;XOF; ;5000000.0;CC1;KANI;OLGA;0757569661;300;2025-01-29T23:34:42;AIRSI
;01;4111AIME;4111AIME;4111AIME;GUIMI KONAN AIME; ;2021-08-28T00:43:14;ABIDJAN;XOF; ;5000000.0;CC1;SYNA;MIROSEL;0708300252;300;2024-05-13T00:09:51;AIRSI
;C1;4111AIME-YOUGBA;4111AIME-YOUGBA;4111AIME-YOUGBA;YOUGBARE AIME; ;2023-09-15T00:03:09;ABIDJAN;XOF; ;5000000.0;CC1;KANI;OLGA; ;300;2024-08-10T05:23:32;AIRSI
;01;4111AKA;4111AKA;4111AKA;Mme AKA CECILE; ;2021-11-11T03:54:50; ;XOF; ;300000.0;CC1;CODJO;OLGA; ;400;2025-03-21T02:20:31;NOR
;01;4111AKA-KESSE;4111AKA-KESSE;4111AKA-KESSE;AKA KESSE RENE; ;2023-03-11T02:35:02;ABIDJAN-YOPOUGON;XOF; ;8000000.0;CC1;HYACINTHEK;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;01;4111AKABLA;4111AKABLA;4111AKABLA;AKABLA; ;2022-02-18T02:02:49;ABIDJAN;XOF; ;10000000.0;CC1;SYNA;OLGA; ;300;2024-09-18T22:50:26;AIRSI
;C1;4111AKMAFA;4111AKMAFA;4111AKMAFA;AKMAFA; ;2024-07-25T23:45:17;ABIDJAN;XOF; ;1000000.0;CC1;SERGEMOTTO;OLGA;0779012324;100;2024-10-11T03:56:23;AIRSI
;01;4111AKOULA;4111AKOULA;4111AKOULA;LA MAISON D'AKOULA; ;2021-11-26T04:55:10;ASSINIE;XOF; ;1000000.0;CH15DFAC;CODJO;OLGA; ;400;2025-06-13T05:37:53;NOR
;C2;4111AKOULA-KAN;4111AKOULA-KAN;4111AKOULA-KAN;AKOUKLA KAN;CI-ABS2020A-27;2024-11-28T01:33:02;ASSINIE;XOF;2012000T;0.0;FRCHQ30FAC;CODJO;OLGA;0714780848;400;2025-05-15T22:44:15;AIRSI
;C1;4111AKOUYE;4111AKOUYE;4111AKOUYE;AKOUYE RESTAURANT;CIABJ03-2024-B130718;2024-10-28T22:01:41; ;XOF;2403247;500000.0;FRCHQ30FAC;CODJO;OLGA;0711049645;400;2024-10-28T22:01:41;AIRSI
;01;4111AL-TURQUIE;4111AL-TURQUIE;4111AL-TURQUIE;AL TURQUIE; ;2022-03-12T21:48:51; ;XOF; ;1500000.0;CC1;CODJO; ; ;400;2022-04-08T21:43:43;AIRSI
;01;4111ALAIN;4111ALAIN;4111ALAIN;KOUADIO KOFFI DIDIER ALAIN; ;2022-02-23T21:16:03; ;XOF; ;50000000.0;FRCHQ30FAC;BAMBA;OLGA; ;300;2025-07-12T00:45:06;AIRSI
;01;4111ALI-ALLAW;4111ALI-ALLAW;4111ALI-ALLAW;ALI ALLAW; ;2023-03-09T04:57:08;ABIDJAN-ZONE 4;XOF; ;500000.0;CC1;ASSAMOI;OLGA; ;400;2025-01-15T23:45:13;AIRSI
;C2;4111ALI-BABA;4111ALI-BABA;4111ALI-BABA;ALI BABA - NEGOCE;CI-MAN-2019-B-265;2023-10-28T00:45:40;MAN;XOF;2020654C;10000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C2;4111ALIBABA-LS;4111ALIBABA-LS;4111ALIBABA-LS;ALI BABA - L.S;CI-MAN-2019-B-265;2023-10-28T00:48:37;MAN;XOF;2020654C;8000000.0;CC1;TOURE;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111ALLFOOD;4111ALLFOOD;4111ALLFOOD;POISONNERIE ALL FOOD ;CI-ABJ-2016-A-23091;2024-05-08T23:28:05;ABIDJAN;XOF;1426014F;10000000.0;CC1;SYNA;OLGA;0747157400;300;2024-05-13T00:09:51;AIRSI
;01;4111ALYE;4111ALYE;4111ALYE;ALYE;CI-ABJ-2018-B-07065;2022-02-05T05:17:30;ABIDJAN;XOF;1814974K;3000000.0;ES5;CODJO;OLGA; ;400;2025-06-05T03:50:52;AIRSI
;C1;4111AMABCI;4111AMABCI;4111AMABCI;BELIFE ( AMICALE DES AGENTS DE BELI; ;2024-10-02T04:23:31;ABIDJAN;XOF; ;10000000.0;CH1;CODJO;OLGA;0505090916;200;2024-10-02T04:23:31;AIRSI
;01;4111AMANI;4111AMANI;4111AMANI;AMANI SAMSON KRA; ;2023-01-18T04:24:49;ABIDJAN;XOF; ;10000000.0;ES1;HYACINTHEK;OLGA; ;300;2024-07-11T07:04:28;AIRSI
;01;4111AMENAN;4111AMENAN;4111AMENAN;KONAN AMENAN JULIE FLORE; ;2022-03-02T04:37:36; ;XOF; ;5000000.0;CC1;SYNA; ; ;300;2022-03-02T04:37:36;AIRSI
;01;4111AMIA;4111AMIA;4111AMIA;AMIA MARTHE; ;2021-08-29T01:52:33; ;XOF; ;10000000.0;CC1;SYNA;SYNA;0779241087;300;2024-09-18T21:26:30;AIRSI
;01;4111AMIDOU;4111AMIDOU;4111AMIDOU;AMIDOU SAWADOGO; ;2022-02-18T00:39:41; ;XOF; ;500000.0;CH15JFIN15;SERGEMOTTO;OLGA; ;100;2024-08-13T06:56:56;NOR
;01;4111AMINCO;4111AMINCO;4111AMINCO;AMINCO SARL;CI-ABJ032021B1302640;2022-07-21T04:00:19; ;XOF;2138121P;100000.0;CC1;TOURE;OLGA;0103280280;200;2024-05-13T00:09:51;NOR
;01;4111AMORE;4111AMORE;4111AMORE;AMORE;CI-ABJ-2014-B-9473;2021-11-04T01:43:56;ABIDJAN;XOF;1424213R;5000000.0;CH10;SERGEMOTTO;SERGEMOTTO; ;400;2025-02-25T04:02:32;NOR
;01;4111AMOUSSOU;4111AMOUSSOU;4111AMOUSSOU;AMOUSSOU FOLLY; ;2022-08-11T05:20:47; ;XOF; ;0.0;CC1;SERGEMOTTO;OLGA;0707062511;100;2024-08-13T06:56:17;AIRSI
;C1;4111ANDUS;4111ANDUS;4111ANDUS;ANDUS ELISABETH; ;2023-11-10T00:01:17;PORT BOUET;XOF; ;5000000.0;CC1;KANI;OLGA; ;300;2024-09-19T06:44:21;AIRSI
;01;4111ANS-AGNIBIL;4111ANSAMBLE;4111ANS-AGNIBIL;ANSAMBLE COTE D'IVOIRE AGNIBILEKRO; ;2022-06-28T03:59:40; ;XOF; ;0.0;CHFM10;SERGEMOTTO;SERGEMOTTO; ;100;2024-12-06T20:22:23;NOR
